restaurant_id,restaurant_name,restaurant_city,cuisine_type,restaurant_rating,avg_delivery_time_min
REST_070,Paneer Paradise - Kolkata,Kolkata,Korean,3.1,54
REST_071,Coastal Flavors - Ahmedabad,Ahmedabad,Japanese,3.4,39
REST_072,Egg Factory - Bangalore,Bangalore,Japanese,4.7,31
REST_073,Biryani Blues - Chennai,Chennai,Fast Food,2.8,36
REST_074,Chai Point - Jaipur,Jaipur,Rajasthani,3.0,41
REST_075,Burger Barn - Delhi,Delhi,Continental,3.1,39
REST_076,Roti Republic - Pune,Pune,Rajasthani,3.3,36
REST_077,Pasta Palace - Lucknow,Lucknow,Fast Food,4.6,50
REST_078,South Spice - Mumbai,Mumbai,Japanese,4.0,24
REST_079,North Indian Kitchen - Ahmedabad,Ahmedabad,Italian,3.8,44
REST_080,Pasta Palace - Jaipur,Jaipur,Street Food,2.6,29
REST_081,Tandoori Nights - Bangalore,Bangalore,Continental,3.5,49
REST_082,Dosa Corner - Bangalore,Bangalore,Bengali,4.3,25
REST_083,Dosa Corner - Ahmedabad,Ahmedabad,Japanese,5.0,40
REST_084,Spice Garden - Mumbai,Mumbai,Fast Food,3.2,30
REST_085,Chai Point - Lucknow,Lucknow,Chinese,3.7,25
REST_086,Noodle Bar - Bangalore,Bangalore,Street Food,4.1,45
REST_087,Momos Hub - Pune,Pune,Street Food,2.5,54
REST_088,Paneer Paradise - Hyderabad,Hyderabad,Continental,4.9,40
REST_089,Tandoori Nights - Jaipur,Jaipur,North Indian,4.2,35
REST_090,The Salad Bowl - Hyderabad,Hyderabad,Rajasthani,3.4,28
REST_091,Wok & Roll - Delhi,Delhi,Mughlai,4.0,30
REST_092,Egg Factory - Delhi,Delhi,North Indian,3.2,38
REST_093,Paneer Paradise - Ahmedabad,Ahmedabad,Mughlai,4.0,41
REST_094,North Indian Kitchen - Pune,Pune,Japanese,5.0,41
REST_095,Kebab King - Ahmedabad,Ahmedabad,Mediterranean,3.0,45
REST_096,Burger Barn - Mumbai,Mumbai,Italian,4.3,28
REST_097,Paneer Paradise - Hyderabad,Hyderabad,North Indian,4.0,30
REST_098,Kebab King - Delhi,Delhi,Korean,4.1,22
REST_099,North Indian Kitchen - Pune,Pune,Japanese,3.1,54
REST_100,The Food Factory - Lucknow,Lucknow,Thai,5.0,26
REST_101,The Food Factory - Mumbai,Mumbai,Korean,2.8,48
REST_102,Biryani Blues - Pune,Pune,Mughlai,3.1,29
REST_103,The Salad Bowl - Hyderabad,Hyderabad,Japanese,4.1,39
REST_104,Wrap It Up - Pune,Pune,South Indian,4.2,37
REST_105,Noodle Bar - Lucknow,Lucknow,Korean,2.8,26
REST_106,Paneer Paradise - Jaipur,Jaipur,Thai,2.8,27
REST_107,Momos Hub - Delhi,Delhi,Italian,4.0,36
REST_108,Tandoori Nights - Jaipur,Jaipur,Continental,4.3,38
REST_109,The Food Factory - Bangalore,Bangalore,Mughlai,3.7,33
REST_110,Dosa Corner - Ahmedabad,Ahmedabad,Italian,2.5,25
REST_111,Egg Factory - Delhi,Delhi,Thai,4.2,29
REST_112,Chai Point - Delhi,Delhi,Mughlai,2.7,26
REST_113,Samosa House - Chennai,Chennai,Italian,3.6,38
REST_114,Chaat Street - Chennai,Chennai,North Indian,2.7,31
REST_115,South Spice - Mumbai,Mumbai,Mexican,3.4,40
REST_116,Paneer Paradise - Pune,Pune,South Indian,2.7,22
REST_117,South Spice - Mumbai,Mumbai,Chinese,4.2,30
REST_118,Kebab King - Kolkata,Kolkata,Rajasthani,3.6,37
REST_119,Kebab King - Delhi,Delhi,Bengali,3.4,27
REST_120,Wok & Roll - Pune,Pune,Fast Food,3.2,44
